"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","EMNT","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2002",,"17","2.39","95","42.00",,"57.9","65.1","50.6"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2003",,"12","2.41","92","66.46",,"55.5","62.1","48.8"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2004",,"10","3.39","92","47.00",,"57.1","63.8","50.4"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2005",,"10","3.23","97","45.66",,"56.8","63.8","49.9"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2006",,"15","4.31","98","47.02",,"58.0","65.2","50.8"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2007",,"10","2.71","99","31.37",,"57.4","64.5","50.3"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2008",,"17","3.28","97","47.94",,"58.3","65.5","51.0"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2009","6.5","10","2.37","95","47.11",,"56.7","63.5","50.0"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2010",,"18","8.80","98","46.50",,"57.9","64.9","50.9"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2011",,"16","4.91","101","49.56",,"58.9","65.9","51.9"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2012",,"17","5.87","103","34.50",,"61.2","68.4","53.9"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2013",,"15","2.77","94","42.82",,"56.6","63.3","49.8"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2014",,"5","3.27","93","42.35",,"55.3","62.4","48.3"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2015",,"3","3.34","93","47.34",,"57.2","64.3","50.0"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2016",,"13","1.50","97","38.00",,"58.9","66.2","51.5"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2017",,"16","1.81","93","36.22",,"59.6","66.9","52.4"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2018",,"6","5.50","96","61.83",,"59.7","66.7","52.7"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2019",,"10","1.66","101","34.74",,"60.4","67.5","53.3"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2020","6.7","22","3.85","96","50.40",,"58.9","65.8","51.9"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2021","6.5","24","2.04","93","37.56",,"58.9","66.0","51.8"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2022",,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2023","6.5",,"2.41","96","36.71",,,"66.8",
